block,sae_seed,region_source,threshold,step_index,method,metric,target,n,pearson,spearman,partial_pearson_order,partial_spearman_order,partial_n
11,42,attn,0.3,1,pre,r,missing_asym_b_minus_a,200,0.18976056353636542,0.12818202086544767,0.18977960704317326,0.12836155079619888,200
11,42,attn,0.3,1,pre,r,merged_rate,200,0.09998901914071304,0.07738566858701089,0.10022582480782795,0.07746842003549714,200
11,42,attn,0.3,1,pre,r,leak_a_to_b_rate,200,0.13498935313822447,0.11996938068577757,0.13598123896051045,0.1213721714038028,199
11,42,attn,0.3,1,pre,r,leak_b_to_a_rate,200,-0.022740471174381643,-0.006375225317079424,-0.02259767635409073,-0.005823090653471552,199
11,42,attn,0.3,1,pre,r,rho_a_mean,200,-0.2802579281778275,-0.26810538877552725,-0.2804242838335455,-0.2679737159237492,180
11,42,attn,0.3,1,pre,r,rho_b_mean,200,0.5238426411201075,0.5850030357710958,0.5278147287215741,0.588406852840689,183
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,200,-0.40475335849912275,-0.41737031781343426,-0.4034919941813289,-0.4163457684628279,183
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,200,0.5376284560293958,0.5510020042770646,0.5377706208785048,0.551045198823003,180
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,200,-0.13585796490223526,-0.14533705108896758,-0.1358715989894834,-0.14554060811312292,200
11,42,attn,0.3,1,pre,O,merged_rate,200,0.004817813687880399,0.0341046396952547,0.0048292237966523315,0.0341411090879267,200
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,200,0.12524349982657262,0.0848673175713861,0.1257195552833169,0.08556958612202935,199
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,200,0.10483554269960674,0.09539050442146406,0.10487614973582829,0.09599288933110096,199
11,42,attn,0.3,1,pre,O,rho_a_mean,200,-0.07799906742643233,-0.20150577094201083,-0.07747406566667998,-0.20299041600718506,180
11,42,attn,0.3,1,pre,O,rho_b_mean,200,0.16856102442878687,0.3557179786722741,0.17141696418266253,0.35814125864729257,183
11,42,attn,0.3,1,pre,O,metric_leak_a_to_b_mean,200,-0.09722476136423538,-0.13023772702864472,-0.09568079723633388,-0.12894016286779164,183
11,42,attn,0.3,1,pre,O,metric_leak_b_to_a_mean,200,0.43034578582417954,0.48823189019105856,0.4299727489423576,0.48962964648564516,180
11,42,attn,0.3,1,pre,O_c,missing_asym_b_minus_a,200,-0.16268454171758254,-0.09529971581473154,-0.16270086799802766,-0.09543319125274782,200
11,42,attn,0.3,1,pre,O_c,merged_rate,200,0.15941341089332278,0.1434742705606182,0.15979095234175456,0.14362769307316073,200
11,42,attn,0.3,1,pre,O_c,leak_a_to_b_rate,200,0.14029018954868785,0.11187304570332139,0.14122403585684326,0.11312887681319961,199
11,42,attn,0.3,1,pre,O_c,leak_b_to_a_rate,200,0.11542386837707888,0.0692475060957706,0.11558816692684931,0.07006680821006882,199
11,42,attn,0.3,1,pre,O_c,rho_a_mean,200,-0.13318226783323636,-0.2504641552304404,-0.1325135532210135,-0.25286557085029754,180
11,42,attn,0.3,1,pre,O_c,rho_b_mean,200,0.021967639584148005,0.14379246885100244,0.025235270781958703,0.14642366262845033,183
11,42,attn,0.3,1,pre,O_c,metric_leak_a_to_b_mean,200,-0.10943740150274965,-0.13885973342041605,-0.10735089662475762,-0.13706822003575045,183
