block,sae_seed,region_source,threshold,step_index,method,metric,target,control,n,partial_pearson,partial_spearman
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+caption_projection:projected:subword_mean,183,-0.39415110399367415,-0.41212971706817364
11,42,attn,0.3,1,pre,r,metric_leak_a_to_b_mean,order+t5_hidden:hidden:subword_mean,183,-0.39441657236907685,-0.4065906640249386
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:key:head_concat:b11,180,0.3764957968795658,0.36306708571805935
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:key:head_mean:b11,180,0.38105340826688905,0.37812672206435566
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:value:head_concat:b11,180,0.38469132716116405,0.3929448625025608
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+attn2_projection:value:head_mean:b11,180,0.3822860626049702,0.39066309683810513
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+caption_projection:projected:subword_mean,180,0.4315550759059354,0.4333101293075783
11,42,attn,0.3,1,pre,r,metric_leak_b_to_a_mean,order+t5_hidden:hidden:subword_mean,180,0.4234791264036398,0.4329633658792443
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:key:head_concat:b11,200,-0.15041160000264595,-0.1446072119061424
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:key:head_mean:b11,200,-0.11476726984449005,-0.10945825023015308
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:value:head_concat:b11,200,-0.017907628016185808,-0.03215529391712397
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+attn2_projection:value:head_mean:b11,200,-0.01560238357091829,-0.030995517798162515
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+caption_projection:projected:subword_mean,200,-0.07961959133528729,-0.08391940907462705
11,42,attn,0.3,1,pre,O,missing_asym_b_minus_a,order+t5_hidden:hidden:subword_mean,200,-0.050963986025898085,-0.06775294070539548
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:key:head_concat:b11,200,-0.13728477525357982,-0.07408421527385264
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:key:head_mean:b11,200,-0.12675279551855362,-0.0702176464356491
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:value:head_concat:b11,200,-0.036279683658568616,-0.003275712263459416
11,42,attn,0.3,1,pre,O,merged_rate,order+attn2_projection:value:head_mean:b11,200,-0.03700604398279914,-0.003306002047538231
11,42,attn,0.3,1,pre,O,merged_rate,order+caption_projection:projected:subword_mean,200,-0.17451784621384134,-0.11423484114216124
11,42,attn,0.3,1,pre,O,merged_rate,order+t5_hidden:hidden:subword_mean,200,-0.09286375412003019,-0.050612877744303994
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:key:head_concat:b11,199,0.07650800692090101,0.027106900729467146
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:key:head_mean:b11,199,0.09104727390284435,0.04581328171829418
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:value:head_concat:b11,199,0.1031471054309866,0.06809845860666491
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+attn2_projection:value:head_mean:b11,199,0.10339336751959373,0.06801202418059002
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+caption_projection:projected:subword_mean,199,0.1079507332692303,0.056973859495586796
11,42,attn,0.3,1,pre,O,leak_a_to_b_rate,order+t5_hidden:hidden:subword_mean,199,0.10759167548938989,0.06960113315472373
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:key:head_concat:b11,199,0.047482916737615344,0.03880541430678362
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:key:head_mean:b11,199,0.06067321727688703,0.06107642098801733
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:value:head_concat:b11,199,0.11330727021212363,0.13067621714304767
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+attn2_projection:value:head_mean:b11,199,0.1140464009735184,0.13173012580367935
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+caption_projection:projected:subword_mean,199,0.06499094747042188,0.06661984866469386
11,42,attn,0.3,1,pre,O,leak_b_to_a_rate,order+t5_hidden:hidden:subword_mean,199,0.09396852273473227,0.0640482670021834
11,42,attn,0.3,1,pre,O,rho_a_mean,order+attn2_projection:key:head_concat:b11,180,0.020869330554913915,-0.11513536365976389
11,42,attn,0.3,1,pre,O,rho_a_mean,order+attn2_projection:key:head_mean:b11,180,0.03395191227662171,-0.10624166157874554
11,42,attn,0.3,1,pre,O,rho_a_mean,order+attn2_projection:value:head_concat:b11,180,0.15236982784093397,-0.010496572115081315
11,42,attn,0.3,1,pre,O,rho_a_mean,order+attn2_projection:value:head_mean:b11,180,0.15348371736319133,-0.008124786305445116
11,42,attn,0.3,1,pre,O,rho_a_mean,order+caption_projection:projected:subword_mean,180,-0.04313751813064327,-0.1632637373110907
11,42,attn,0.3,1,pre,O,rho_a_mean,order+t5_hidden:hidden:subword_mean,180,-0.015700381136590648,-0.11770354827448021
11,42,attn,0.3,1,pre,O,rho_b_mean,order+attn2_projection:key:head_concat:b11,183,0.01113888790440899,0.1616534436333876
11,42,attn,0.3,1,pre,O,rho_b_mean,order+attn2_projection:key:head_mean:b11,183,0.0393081417385425,0.18555571550865127
11,42,attn,0.3,1,pre,O,rho_b_mean,order+attn2_projection:value:head_concat:b11,183,0.16190204482605636,0.2855877927771979
11,42,attn,0.3,1,pre,O,rho_b_mean,order+attn2_projection:value:head_mean:b11,183,0.1627870100470253,0.2858441918779024
11,42,attn,0.3,1,pre,O,rho_b_mean,order+caption_projection:projected:subword_mean,183,0.10557608532369009,0.24369083352749288
11,42,attn,0.3,1,pre,O,rho_b_mean,order+t5_hidden:hidden:subword_mean,183,0.10576593467821259,0.22162441502913827
11,42,attn,0.3,1,pre,O,metric_leak_a_to_b_mean,order+attn2_projection:key:head_concat:b11,183,0.022892700000505948,-0.024206372759326272
11,42,attn,0.3,1,pre,O,metric_leak_a_to_b_mean,order+attn2_projection:key:head_mean:b11,183,0.03480951644333577,-0.021359232804340437
11,42,attn,0.3,1,pre,O,metric_leak_a_to_b_mean,order+attn2_projection:value:head_concat:b11,183,0.11145237895582964,0.024245720992663703
11,42,attn,0.3,1,pre,O,metric_leak_a_to_b_mean,order+attn2_projection:value:head_mean:b11,183,0.11449804096962232,0.02721441441188337
11,42,attn,0.3,1,pre,O,metric_leak_a_to_b_mean,order+caption_projection:projected:subword_mean,183,-0.040522726583949946,-0.08772884374916093
11,42,attn,0.3,1,pre,O,metric_leak_a_to_b_mean,order+t5_hidden:hidden:subword_mean,183,-0.034901107824352816,-0.07289086958714479
11,42,attn,0.3,1,pre,O,metric_leak_b_to_a_mean,order+attn2_projection:key:head_concat:b11,180,0.20231381429007478,0.2578392832214702
11,42,attn,0.3,1,pre,O,metric_leak_b_to_a_mean,order+attn2_projection:key:head_mean:b11,180,0.17325402575139745,0.24784007370473385
11,42,attn,0.3,1,pre,O,metric_leak_b_to_a_mean,order+attn2_projection:value:head_concat:b11,180,0.05418625292378339,0.20734732036806702
11,42,attn,0.3,1,pre,O,metric_leak_b_to_a_mean,order+attn2_projection:value:head_mean:b11,180,0.05149952219711624,0.2056145771578038
11,42,attn,0.3,1,pre,O,metric_leak_b_to_a_mean,order+caption_projection:projected:subword_mean,180,0.21174945333204484,0.2798265521544322
11,42,attn,0.3,1,pre,O,metric_leak_b_to_a_mean,order+t5_hidden:hidden:subword_mean,180,0.17570867487140368,0.24309361288831716
11,42,attn,0.3,1,pre,O_c,missing_asym_b_minus_a,order+attn2_projection:key:head_concat:b11,200,-0.17985522139780902,-0.0830130642803044
11,42,attn,0.3,1,pre,O_c,missing_asym_b_minus_a,order+attn2_projection:key:head_mean:b11,200,-0.14775280610975666,-0.04931841950716755
11,42,attn,0.3,1,pre,O_c,missing_asym_b_minus_a,order+attn2_projection:value:head_concat:b11,200,-0.05332002027251874,0.0430249054125983
11,42,attn,0.3,1,pre,O_c,missing_asym_b_minus_a,order+attn2_projection:value:head_mean:b11,200,-0.050628024782555514,0.044320775333195055
11,42,attn,0.3,1,pre,O_c,missing_asym_b_minus_a,order+caption_projection:projected:subword_mean,200,-0.11167087376919539,-0.018809663861157046
11,42,attn,0.3,1,pre,O_c,missing_asym_b_minus_a,order+t5_hidden:hidden:subword_mean,200,-0.08448278763942162,-0.005564078759960696
11,42,attn,0.3,1,pre,O_c,merged_rate,order+attn2_projection:key:head_concat:b11,200,0.06473351076151537,0.06611015990278651
11,42,attn,0.3,1,pre,O_c,merged_rate,order+attn2_projection:key:head_mean:b11,200,0.07757593237711737,0.07105913146229864
11,42,attn,0.3,1,pre,O_c,merged_rate,order+attn2_projection:value:head_concat:b11,200,0.18551267515422185,0.14264865940611743
11,42,attn,0.3,1,pre,O_c,merged_rate,order+attn2_projection:value:head_mean:b11,200,0.18460112237891144,0.14255931105581512
11,42,attn,0.3,1,pre,O_c,merged_rate,order+caption_projection:projected:subword_mean,200,0.01456461186749453,0.013470342437235284
11,42,attn,0.3,1,pre,O_c,merged_rate,order+t5_hidden:hidden:subword_mean,200,0.10326475522046492,0.08559907681631329
11,42,attn,0.3,1,pre,O_c,leak_a_to_b_rate,order+attn2_projection:key:head_concat:b11,199,0.09739828422361752,0.06345870381581477
11,42,attn,0.3,1,pre,O_c,leak_a_to_b_rate,order+attn2_projection:key:head_mean:b11,199,0.1110218163574328,0.08098727955433163
11,42,attn,0.3,1,pre,O_c,leak_a_to_b_rate,order+attn2_projection:value:head_concat:b11,199,0.12647440380988134,0.10575758767600332
11,42,attn,0.3,1,pre,O_c,leak_a_to_b_rate,order+attn2_projection:value:head_mean:b11,199,0.1267735327241955,0.10564998757993459
11,42,attn,0.3,1,pre,O_c,leak_a_to_b_rate,order+caption_projection:projected:subword_mean,199,0.12824024118385824,0.0899419941634241
11,42,attn,0.3,1,pre,O_c,leak_a_to_b_rate,order+t5_hidden:hidden:subword_mean,199,0.12729834683235186,0.10352845396541768
11,42,attn,0.3,1,pre,O_c,leak_b_to_a_rate,order+attn2_projection:key:head_concat:b11,199,0.0634358321582941,0.010821005741746654
11,42,attn,0.3,1,pre,O_c,leak_b_to_a_rate,order+attn2_projection:key:head_mean:b11,199,0.07559067314956781,0.030868207784233142
11,42,attn,0.3,1,pre,O_c,leak_b_to_a_rate,order+attn2_projection:value:head_concat:b11,199,0.1310389902472022,0.10052182873512047
11,42,attn,0.3,1,pre,O_c,leak_b_to_a_rate,order+attn2_projection:value:head_mean:b11,199,0.13194388595552753,0.10170065527855288
11,42,attn,0.3,1,pre,O_c,leak_b_to_a_rate,order+caption_projection:projected:subword_mean,199,0.07719489390781462,0.03364802594895061
11,42,attn,0.3,1,pre,O_c,leak_b_to_a_rate,order+t5_hidden:hidden:subword_mean,199,0.107629512740608,0.03214418866745629
11,42,attn,0.3,1,pre,O_c,rho_a_mean,order+attn2_projection:key:head_concat:b11,180,-0.05362643422240095,-0.17915386608706008
11,42,attn,0.3,1,pre,O_c,rho_a_mean,order+attn2_projection:key:head_mean:b11,180,-0.043041435959411185,-0.17174409658812703
11,42,attn,0.3,1,pre,O_c,rho_a_mean,order+attn2_projection:value:head_concat:b11,180,0.08033392585575959,-0.0663603112053408
11,42,attn,0.3,1,pre,O_c,rho_a_mean,order+attn2_projection:value:head_mean:b11,180,0.08246325376929992,-0.06354767219135465
11,42,attn,0.3,1,pre,O_c,rho_a_mean,order+caption_projection:projected:subword_mean,180,-0.11158222009115797,-0.22415953407531644
11,42,attn,0.3,1,pre,O_c,rho_a_mean,order+t5_hidden:hidden:subword_mean,180,-0.08530079750919942,-0.17989067697077765
11,42,attn,0.3,1,pre,O_c,rho_b_mean,order+attn2_projection:key:head_concat:b11,183,-0.16520211987974673,-0.1022925494435935
11,42,attn,0.3,1,pre,O_c,rho_b_mean,order+attn2_projection:key:head_mean:b11,183,-0.14246275159769997,-0.0791347847067573
11,42,attn,0.3,1,pre,O_c,rho_b_mean,order+attn2_projection:value:head_concat:b11,183,-0.04671951163560787,-0.00107778902299095
11,42,attn,0.3,1,pre,O_c,rho_b_mean,order+attn2_projection:value:head_mean:b11,183,-0.0454779487755961,-0.000561525999009355
11,42,attn,0.3,1,pre,O_c,rho_b_mean,order+caption_projection:projected:subword_mean,183,-0.08768514289623017,-0.036187168164888754
11,42,attn,0.3,1,pre,O_c,rho_b_mean,order+t5_hidden:hidden:subword_mean,183,-0.08361785944379159,-0.05398456450790487
11,42,attn,0.3,1,pre,O_c,metric_leak_a_to_b_mean,order+attn2_projection:key:head_concat:b11,183,0.002747628453384798,-0.03983066529617236
11,42,attn,0.3,1,pre,O_c,metric_leak_a_to_b_mean,order+attn2_projection:key:head_mean:b11,183,0.01462007679242919,-0.036735253447373835
11,42,attn,0.3,1,pre,O_c,metric_leak_a_to_b_mean,order+attn2_projection:value:head_concat:b11,183,0.10797393609142122,0.025182241474364764
11,42,attn,0.3,1,pre,O_c,metric_leak_a_to_b_mean,order+attn2_projection:value:head_mean:b11,183,0.11173289012136879,0.02832278617315022
11,42,attn,0.3,1,pre,O_c,metric_leak_a_to_b_mean,order+caption_projection:projected:subword_mean,183,-0.05141041449561805,-0.09558347231882378
11,42,attn,0.3,1,pre,O_c,metric_leak_a_to_b_mean,order+t5_hidden:hidden:subword_mean,183,-0.048781171384205825,-0.08295202887620297
11,42,attn,0.3,1,pre,O_c,metric_leak_b_to_a_mean,order+attn2_projection:key:head_concat:b11,180,0.3628036432858394,0.38028679889573835
11,42,attn,0.3,1,pre,O_c,metric_leak_b_to_a_mean,order+attn2_projection:key:head_mean:b11,180,0.3401126695299784,0.3715617245036134
11,42,attn,0.3,1,pre,O_c,metric_leak_b_to_a_mean,order+attn2_projection:value:head_concat:b11,180,0.2207857820329566,0.30432712896750047
11,42,attn,0.3,1,pre,O_c,metric_leak_b_to_a_mean,order+attn2_projection:value:head_mean:b11,180,0.21693729913239876,0.3021880308266324
11,42,attn,0.3,1,pre,O_c,metric_leak_b_to_a_mean,order+caption_projection:projected:subword_mean,180,0.34553735565180205,0.3653883115688884
11,42,attn,0.3,1,pre,O_c,metric_leak_b_to_a_mean,order+t5_hidden:hidden:subword_mean,180,0.3191836186338979,0.34671513815524746
11,42,attn,0.3,1,raw,r,missing_asym_b_minus_a,order+attn2_projection:key:head_concat:b11,200,-0.11054412441754431,-0.021260066459681082
11,42,attn,0.3,1,raw,r,missing_asym_b_minus_a,order+attn2_projection:key:head_mean:b11,200,-0.08920832424635895,0.0028357925781993046
11,42,attn,0.3,1,raw,r,missing_asym_b_minus_a,order+attn2_projection:value:head_concat:b11,200,-0.025992337841787897,0.06790073938709366
11,42,attn,0.3,1,raw,r,missing_asym_b_minus_a,order+attn2_projection:value:head_mean:b11,200,-0.023639293574432618,0.06990684896795007
11,42,attn,0.3,1,raw,r,missing_asym_b_minus_a,order+caption_projection:projected:subword_mean,200,-0.06972657477209113,0.019216580065220226
11,42,attn,0.3,1,raw,r,missing_asym_b_minus_a,order+t5_hidden:hidden:subword_mean,200,-0.05483595997482502,0.027114457643308987
11,42,attn,0.3,1,raw,r,merged_rate,order+attn2_projection:key:head_concat:b11,200,-0.005288950468333601,0.023761653557835816
