pair_id,order,n,missing_asym_b_minus_a,count_a_ge2_rate,count_b_ge2_rate,a_present_rate,a_present_n,b_present_rate,b_present_n,merged_rate,merged_n,malformed_a_rate,malformed_a_n,malformed_b_rate,malformed_b_n,leak_a_to_b_rate,leak_a_to_b_n,leak_b_to_a_rate,leak_b_to_a_n
horse__pumpkin,1,10,0.0,0.125,0.375,0.8888888888888888,9,0.8888888888888888,9,0.4444444444444444,9,0.0,9,0.0,9,0.0,4,0.0,4
horse__tomato,0,10,0.1,0.2,0.4444444444444444,1.0,10,0.9,10,0.2,10,0.0,10,0.1,10,0.0,6,0.0,6
horse__tomato,1,10,0.09999999999999998,0.16666666666666666,0.4,0.6,10,0.5,10,0.4,10,0.0,10,0.1,10,0.0,2,0.0,2
leopard__cat,0,10,0.1,0.2,0.2,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.375,8,0.375,8
leopard__cat,1,10,0.2,0.1,0.0,1.0,10,0.8,10,0.0,10,0.0,10,0.0,10,0.375,8,0.375,8
leopard__lemon,0,10,0.0,0.3333333333333333,0.3333333333333333,0.6,10,0.6,10,0.2,10,0.0,10,0.1,10,0.0,4,0.0,4
leopard__lemon,1,10,0.10000000000000003,0.5714285714285714,0.2857142857142857,0.7,10,0.6,10,0.1,10,0.0,10,0.1,10,0.0,4,0.0,4
leopard__peach,0,10,0.0,0.3,0.4,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
leopard__peach,1,10,0.1,0.3,0.3,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,9,0.0,9
leopard__pepper,0,10,0.3,0.5,0.0,1.0,10,0.7,10,0.1,10,0.0,10,0.3,10,0.0,6,0.0,6
leopard__pepper,1,10,0.0,0.0,0.1111111111111111,0.9,10,0.9,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
leopard__strawberry,0,10,0.0,0.3,0.7,1.0,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,8,0.0,8
leopard__strawberry,1,10,0.0,0.5555555555555556,0.4444444444444444,0.9,10,0.9,10,0.3,10,0.0,10,0.0,10,0.0,6,0.0,6
leopard__tomato,0,10,0.2,0.5,0.625,1.0,10,0.8,10,0.2,10,0.0,10,0.2,10,0.0,6,0.0,6
leopard__tomato,1,10,0.2222222222222222,0.5714285714285714,0.5,0.7777777777777778,9,0.5555555555555556,9,0.2222222222222222,9,0.0,9,0.2222222222222222,9,0.0,3,0.0,3
lion__bear,0,10,0.1,0.1,0.0,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,8,0.0,8
lion__bear,1,10,0.1,0.3,0.2222222222222222,1.0,10,0.9,10,0.2,10,0.0,10,0.0,10,0.0,7,0.0,7
lion__dog,0,10,0.1,0.0,0.0,1.0,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
lion__dog,1,10,0.0,0.0,0.0,0.9,10,0.9,10,0.3,10,0.0,10,0.0,10,0.0,7,0.0,7
lion__frog,0,10,0.0,0.2,0.0,1.0,10,1.0,10,0.5,10,0.0,10,0.0,10,0.0,5,0.0,5
lion__frog,1,10,0.0,0.3,0.0,1.0,10,1.0,10,0.3,10,0.0,10,0.0,10,0.0,7,0.14285714285714285,7
lion__horse,0,10,0.1,0.0,0.0,0.9,10,0.8,10,0.6,10,0.0,10,0.0,10,0.0,3,0.0,3
lion__horse,1,10,0.0,0.16666666666666666,0.16666666666666666,0.6,10,0.6,10,0.8,10,0.0,10,0.0,10,nan,0,nan,0
lion__leopard,0,10,0.0,0.1,0.2,1.0,10,1.0,10,0.4,10,0.0,10,0.0,10,0.0,5,0.0,5
lion__leopard,1,10,0.0,0.2222222222222222,0.2222222222222222,0.9,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,9,0.0,9
lion__panda,0,10,0.0,0.0,0.0,0.9,10,0.9,10,0.4,10,0.0,10,0.0,10,0.0,6,0.0,6
lion__panda,1,10,0.0,0.125,0.125,0.8,10,0.8,10,0.3,10,0.0,10,0.0,10,0.0,6,0.0,6
lion__pear,0,10,0.0,0.1,0.3,1.0,10,1.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
lion__pear,1,10,0.1,0.2222222222222222,0.1111111111111111,0.9,10,0.8,10,0.0,10,0.0,10,0.1,10,0.0,7,0.0,7
lion__pepper,0,10,0.0,0.1,0.5,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
lion__pepper,1,10,0.1,0.3333333333333333,0.1111111111111111,0.9,10,0.8,10,0.0,10,0.0,10,0.0,10,0.0,8,0.0,8
lion__tiger,0,10,0.0,0.0,0.0,1.0,10,1.0,10,0.4,10,0.0,10,0.0,10,0.0,6,0.0,6
lion__tiger,1,10,0.0,0.0,0.0,1.0,10,1.0,10,0.6,10,0.0,10,0.0,10,0.0,4,0.0,4
lion__tomato,0,10,0.1,0.1,0.3333333333333333,1.0,10,0.9,10,0.1,10,0.0,10,0.1,10,0.0,8,0.0,8
lion__tomato,1,10,0.0,0.0,0.2222222222222222,0.9,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,7,0.0,7
lion__turtle,0,10,0.0,0.0,0.2,1.0,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,7,0.0,7
lion__turtle,1,10,0.0,0.2,0.1,1.0,10,1.0,10,0.4,10,0.0,10,0.0,10,0.0,5,0.0,5
orange__peach,0,10,0.0,0.42857142857142855,0.42857142857142855,0.7,10,0.7,10,0.3,10,0.0,10,0.0,10,0.0,6,0.0,6
orange__peach,1,10,-0.10000000000000003,0.3333333333333333,0.14285714285714285,0.6,10,0.7,10,0.4,10,0.0,10,0.0,10,0.0,3,0.0,3
orange__pumpkin,0,10,0.0,0.4444444444444444,0.6666666666666666,1.0,9,1.0,9,0.0,9,0.0,9,0.0,9,0.0,7,0.0,7
orange__pumpkin,1,10,0.0,0.4444444444444444,0.4444444444444444,0.9,10,0.9,10,0.2,10,0.0,10,0.0,10,0.0,5,0.0,5
orange__strawberry,0,10,0.0,0.5555555555555556,0.5555555555555556,0.9,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,6,0.0,6
orange__strawberry,1,10,0.0,0.5,0.5,0.8,10,0.8,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
panda__apple,0,10,0.1,0.6,0.2,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,9,0.0,9
panda__apple,1,10,0.0,0.4,0.2,1.0,10,1.0,10,0.3,10,0.0,10,0.0,10,0.0,6,0.0,6
