pair,pair_id,entity_a,entity_b,stage,block,kind,aggregation,cosine
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,14,value,head_mean,0.42678242921829224
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,14,value,head_concat,0.41669026017189026
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,17,key,head_mean,0.9477699995040894
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,17,key,head_concat,0.9729191064834595
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,17,value,head_mean,0.41325807571411133
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,17,value,head_concat,0.4086371660232544
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,20,key,head_mean,0.98475581407547
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,20,key,head_concat,0.9930614829063416
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,20,value,head_mean,0.5208399295806885
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,20,value,head_concat,0.5148864388465881
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,23,key,head_mean,0.9868643879890442
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,23,key,head_concat,0.9953816533088684
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,23,value,head_mean,0.5049504041671753
apple__strawberry,apple__strawberry,apple,strawberry,attn2_projection,23,value,head_concat,0.499765008687973
apple__tomato,apple__tomato,apple,tomato,t5_hidden,,hidden,subword_mean,0.4022631049156189
apple__tomato,apple__tomato,apple,tomato,caption_projection,,projected,subword_mean,0.4219062924385071
apple__tomato,apple__tomato,apple,tomato,attn2_projection,8,key,head_mean,0.893903374671936
apple__tomato,apple__tomato,apple,tomato,attn2_projection,8,key,head_concat,0.9343699812889099
apple__tomato,apple__tomato,apple,tomato,attn2_projection,8,value,head_mean,0.4733659625053406
apple__tomato,apple__tomato,apple,tomato,attn2_projection,8,value,head_concat,0.46865254640579224
apple__tomato,apple__tomato,apple,tomato,attn2_projection,11,key,head_mean,0.8707238435745239
apple__tomato,apple__tomato,apple,tomato,attn2_projection,11,key,head_concat,0.9261660575866699
apple__tomato,apple__tomato,apple,tomato,attn2_projection,11,value,head_mean,0.4275970160961151
apple__tomato,apple__tomato,apple,tomato,attn2_projection,11,value,head_concat,0.42945846915245056
apple__tomato,apple__tomato,apple,tomato,attn2_projection,14,key,head_mean,0.8964304327964783
apple__tomato,apple__tomato,apple,tomato,attn2_projection,14,key,head_concat,0.9586808085441589
apple__tomato,apple__tomato,apple,tomato,attn2_projection,14,value,head_mean,0.3167780637741089
apple__tomato,apple__tomato,apple,tomato,attn2_projection,14,value,head_concat,0.30804672837257385
apple__tomato,apple__tomato,apple,tomato,attn2_projection,17,key,head_mean,0.9507375359535217
apple__tomato,apple__tomato,apple,tomato,attn2_projection,17,key,head_concat,0.9736441969871521
apple__tomato,apple__tomato,apple,tomato,attn2_projection,17,value,head_mean,0.4346119165420532
apple__tomato,apple__tomato,apple,tomato,attn2_projection,17,value,head_concat,0.4281271696090698
apple__tomato,apple__tomato,apple,tomato,attn2_projection,20,key,head_mean,0.9826074242591858
apple__tomato,apple__tomato,apple,tomato,attn2_projection,20,key,head_concat,0.99216228723526
apple__tomato,apple__tomato,apple,tomato,attn2_projection,20,value,head_mean,0.5097620487213135
apple__tomato,apple__tomato,apple,tomato,attn2_projection,20,value,head_concat,0.5068479776382446
apple__tomato,apple__tomato,apple,tomato,attn2_projection,23,key,head_mean,0.9854815602302551
apple__tomato,apple__tomato,apple,tomato,attn2_projection,23,key,head_concat,0.9950246214866638
apple__tomato,apple__tomato,apple,tomato,attn2_projection,23,value,head_mean,0.47390151023864746
apple__tomato,apple__tomato,apple,tomato,attn2_projection,23,value,head_concat,0.46454179286956787
apple__watermelon,apple__watermelon,apple,watermelon,t5_hidden,,hidden,subword_mean,0.34532448649406433
apple__watermelon,apple__watermelon,apple,watermelon,caption_projection,,projected,subword_mean,0.4192066788673401
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,8,key,head_mean,0.8957998752593994
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,8,key,head_concat,0.9350256323814392
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,8,value,head_mean,0.4286966919898987
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,8,value,head_concat,0.42716145515441895
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,11,key,head_mean,0.8720337152481079
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,11,key,head_concat,0.9288914799690247
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,11,value,head_mean,0.4019080102443695
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,11,value,head_concat,0.39927083253860474
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,14,key,head_mean,0.9157774448394775
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,14,key,head_concat,0.9688290357589722
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,14,value,head_mean,0.290667325258255
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,14,value,head_concat,0.2944038510322571
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,17,key,head_mean,0.9581188559532166
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,17,key,head_concat,0.9771674275398254
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,17,value,head_mean,0.33690792322158813
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,17,value,head_concat,0.33291780948638916
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,20,key,head_mean,0.9874170422554016
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,20,key,head_concat,0.9941542148590088
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,20,value,head_mean,0.41662707924842834
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,20,value,head_concat,0.42330437898635864
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,23,key,head_mean,0.988335132598877
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,23,key,head_concat,0.9954371452331543
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,23,value,head_mean,0.39350271224975586
apple__watermelon,apple__watermelon,apple,watermelon,attn2_projection,23,value,head_concat,0.39237654209136963
bear__apple,bear__apple,bear,apple,t5_hidden,,hidden,subword_mean,0.3163583278656006
bear__apple,bear__apple,bear,apple,caption_projection,,projected,subword_mean,0.28012174367904663
bear__apple,bear__apple,bear,apple,attn2_projection,8,key,head_mean,0.7864885926246643
bear__apple,bear__apple,bear,apple,attn2_projection,8,key,head_concat,0.8558775782585144
bear__apple,bear__apple,bear,apple,attn2_projection,8,value,head_mean,0.13231760263442993
bear__apple,bear__apple,bear,apple,attn2_projection,8,value,head_concat,0.13208679854869843
bear__apple,bear__apple,bear,apple,attn2_projection,11,key,head_mean,0.7718552947044373
bear__apple,bear__apple,bear,apple,attn2_projection,11,key,head_concat,0.8722658157348633
bear__apple,bear__apple,bear,apple,attn2_projection,11,value,head_mean,0.0925494134426117
bear__apple,bear__apple,bear,apple,attn2_projection,11,value,head_concat,0.09141353517770767
bear__apple,bear__apple,bear,apple,attn2_projection,14,key,head_mean,0.8275130391120911
bear__apple,bear__apple,bear,apple,attn2_projection,14,key,head_concat,0.9337817430496216
bear__apple,bear__apple,bear,apple,attn2_projection,14,value,head_mean,0.042306240648031235
bear__apple,bear__apple,bear,apple,attn2_projection,14,value,head_concat,0.04240783676505089
bear__apple,bear__apple,bear,apple,attn2_projection,17,key,head_mean,0.9009668827056885
bear__apple,bear__apple,bear,apple,attn2_projection,17,key,head_concat,0.9484879970550537
bear__apple,bear__apple,bear,apple,attn2_projection,17,value,head_mean,0.0976623073220253
bear__apple,bear__apple,bear,apple,attn2_projection,17,value,head_concat,0.1030522882938385
bear__apple,bear__apple,bear,apple,attn2_projection,20,key,head_mean,0.9764477610588074
bear__apple,bear__apple,bear,apple,attn2_projection,20,key,head_concat,0.9895710349082947
bear__apple,bear__apple,bear,apple,attn2_projection,20,value,head_mean,0.0778675302863121
bear__apple,bear__apple,bear,apple,attn2_projection,20,value,head_concat,0.07456253468990326
bear__apple,bear__apple,bear,apple,attn2_projection,23,key,head_mean,0.9788380861282349
bear__apple,bear__apple,bear,apple,attn2_projection,23,key,head_concat,0.993298351764679
bear__apple,bear__apple,bear,apple,attn2_projection,23,value,head_mean,0.1500917375087738
bear__apple,bear__apple,bear,apple,attn2_projection,23,value,head_concat,0.12097694724798203
bear__orange,bear__orange,bear,orange,t5_hidden,,hidden,subword_mean,0.3183313012123108
bear__orange,bear__orange,bear,orange,caption_projection,,projected,subword_mean,0.30460304021835327
bear__orange,bear__orange,bear,orange,attn2_projection,8,key,head_mean,0.801306962966919
bear__orange,bear__orange,bear,orange,attn2_projection,8,key,head_concat,0.8722367882728577
bear__orange,bear__orange,bear,orange,attn2_projection,8,value,head_mean,0.13758090138435364
bear__orange,bear__orange,bear,orange,attn2_projection,8,value,head_concat,0.13353706896305084
bear__orange,bear__orange,bear,orange,attn2_projection,11,key,head_mean,0.7852347493171692
bear__orange,bear__orange,bear,orange,attn2_projection,11,key,head_concat,0.8858395218849182
bear__orange,bear__orange,bear,orange,attn2_projection,11,value,head_mean,0.02776039019227028
bear__orange,bear__orange,bear,orange,attn2_projection,11,value,head_concat,0.02360689267516136
bear__orange,bear__orange,bear,orange,attn2_projection,14,key,head_mean,0.8486356139183044
bear__orange,bear__orange,bear,orange,attn2_projection,14,key,head_concat,0.9408202767372131
bear__orange,bear__orange,bear,orange,attn2_projection,14,value,head_mean,0.09146759659051895
bear__orange,bear__orange,bear,orange,attn2_projection,14,value,head_concat,0.09279437363147736
bear__orange,bear__orange,bear,orange,attn2_projection,17,key,head_mean,0.9095966219902039
bear__orange,bear__orange,bear,orange,attn2_projection,17,key,head_concat,0.9549163579940796
bear__orange,bear__orange,bear,orange,attn2_projection,17,value,head_mean,0.05546552687883377
bear__orange,bear__orange,bear,orange,attn2_projection,17,value,head_concat,0.05770300701260567
bear__orange,bear__orange,bear,orange,attn2_projection,20,key,head_mean,0.9764338731765747
bear__orange,bear__orange,bear,orange,attn2_projection,20,key,head_concat,0.9895259141921997
